word,count
@colleengleason,9
@mdknightbabe,16
hrtablaze,9
triggered,153
anti-fascist,2
short,2
film,2
viral,2
@yayitsrob,2
writes,2
ball...dribbles,2
@slandinsocal,20
left...he,2
shoots,2
looks...he,2
surprise,16
racist,243
agree,28
sway,10
press,318
north,64
excuseme,6
charlottesville,128
sincerely,55
schooled,8
doing,13
lefty,25
learn,2
nowadays,11
@mitchellvii,38
trumptrain,32
korea,96
#potus,49
#tuesdaythoughts,199
@markantro,30
alt,52
#fakepolls,16
neo,21
@rosegra21103351,14
hell,247
@maggienyt,12
taking,55
reporter,64
mean,4
media,1402
trying,49
protesting,20
supports,30
liberals,35
there's,20
protesters,24
proud,92
spox,209
liberal,39
@acosta,142
tower,449
totally,21
@diamondandsilk,8
tweet,21
russian,226
(video,356
documents,140
slave,11
collusion,213
running,29
mainstream,42
donald,32
-,189
russia,94
america,80
#maga,255
forced,61
@ap,14
presidential,11
cnn,306
@markknoller,2
impudent,26
marxist,44
words,26
@stupid_patrol,2
listen,98
name,58
nazis,58
believe,161
jim,38
washington,103
@itsyourgrace,28
@davidgrayrhodes,2
camera,5
calling,279
sucks,15
what's,45
bitch,29
@realjameswoods,34
blasts,431
shill,2
acosta,35
@tony19542,7
@nerdkittengames,2
msm,266
@seekeroftruth0,2
incoming,2
putting,2
@chelley9905,2
@the_trump_train,68
@bri_ecrit,2
statue,23
president,638
depicted,18
usa,75
propaganda,176
@arelab13,8
honest,41
trump,2258
@hrtablaze,196
@sophiahelwani,26
kkk,146
@fitserbmomma,2
called,137
received,3
@andersoncooper,28
george,84
#extreme,28
@cattsadstr,9
he's,88
voted,48
lying,40
meme,21
allowing,8
/,186
willingly,61
mouth,14
left,187
equally,5
get-go,137
antifa,472
ties,2
@ineedtequila,2
he'll,13
lied=&gt;manafort,140
@foxnews,137
condemning,69
organization,7
prove,73
saying,267
@gatewaypundit,205
failed,11
goal,2
1/,3
npr,2
jobs,23
applebee's,2
mcauliffe,7
millennials,2
efforts,2
rebranding,2
y'all,11
@jwaxsom,2
eclipse,73
@danrather,35
disavowing,54
water,42
hasn't,16
learned,18
crap,17
combative,2
publicly,17
nonexistent,2
criticizes,2
americans,66
staring,70
#trump,337
protect,12
truth,108
@bbcpropaganda,2
bathroom,2
billion,2
nhs,2
pfi,2
debt,2
@papaspeedo,3
racism,57
american,98
#whitesupremacists,54
lie,98
walk-back,34
@nbc,16
york,17
charlottsville,2
job,39
promote,10
march,128
criticize,15
car,7
fighting,36
won't,144
@getajobucommie,6
times,116
@msnbc,75
#resist,16
#fox,10
hey,46
@_ncpatriot_,2
@seanhannity,16
@lsmith4680,27
gov,2
rewrites,2
terry,2
promotes,4
@cbs,16
reporting,33
tonight,10
wh,11
@cnn,614
enemy,14
pushing--we're,2
tapper....you,2
telling,32
speaks,7
cause,9
dare,47
equivalence,2
white,267
o.g,2
@realhelinbaran,17
crazy,30
ft,2
@daveweigel,2
#marchongoogle,89
pushing,34
@lolgop,2
@alozrast,72
#davidduke,17
bring,33
bcz,2
nebulous,2
verifiably,2
#antifascist,2
@mrsmmtbeauty,3
@jojoh888,45
choose,20
epic,383
ppl,36
#bigotry,17
hi,17
drinking,3
story,74
watch,94
@bbcworld,5
dressing-down,3
they're,126
election,135
truly,81
lied,76
we're,112
ignore,60
realdonaldtrump,11
#witchhunt,69
bullshit,42
@jaketapper,70
@surfermom77,27
staff,10
nationalist,140
@gwhinton,2
2u,3
@thetrumplady,18
babbling,16
#liarinchief,5
agree-listened,2
@repstevensmith,349
@stephenwunderl4,5
(excepting,5
according,8
false,22
glad,9
2trust,16
god,91
@realdonaldtrump,1009
#kkk,34
violence,204
#antifa,264
makes,33
via,15
boy,16
experts,30
@jpodhoretz,2
4siding,66
church,2
stellar,2
@aridavidusa,9
statement,43
fact--you,31
#cryptocurrency,9
trouble,11
ago,14
#getem,4
event,26
constant,5
infrastructure,15
journalism,24
100,8
@elohim_gadol,9
marching,3
journalists,97
told,44
trumps,13
smacking,3
outright,5
@ghaleonmagicemp,2
base,7
virginia,9
@lizfinger1,2
military,38
infact,2
@thebradfordfile,36
makers,2
@,14
dick,5
#gop,20
interrupt,3
ceo's,3
tough,65
season,2
baiting,23
"embarrassment""...of",3
#trumpnazi,3
@hbjager,2
goldy,2
double,2
standard,2
monday,9
dan,39
message,6
includes,2
proof,63
danger,8
"century,5th",6
guys,13
cultural,3
quit,10
president...crazy,9
remind,2
ceo,8
smears,2
spot,14
fine,15
hold,19
@bocavista2016,32
would've,2
portray,34
nightmare,2
disgrace,23
#cambridgeanalytica,3
fashionable,6
#facebook,9
conferences,32
slamming,69
flame,4
aug,21
pres,39
12th,12
taste,5
bigot,10
jefferson,6
fake,396
trump's,101
joke,4
actually,46
#rememberheather,17
owners,6
breaking,9
criticism,35
diff,8
#alshabab,3
events,60
chinese,30
leash,3
#nazitrump,3
@randomobserver1,3
news,547
#putin,9
interference,3
type,3
wife,9
exposes,8
terrible,8
van,5
jones,8
@bravehart60,17
conference,98
#muellertime,5
@redpillmike1,3
wrong,68
@lmchristi1,6
@krissymaga3x,6
#trumprussia,3
complete,7
@joenbc,6
nazi,147
@kassandraseven,9
@medpierre,23
#darkmoney,9
$$$,8
#fascism,9
presidents,6
wankers,17
yes,23
@kwilli1046,120
report,89
labeled,8
decide,5
@dbongino,3
dishonest,29
remarks,17
potus,114
@keitholbermann,5
@oilfieldfalcon,5
rest,13
#isis,8
tower.i,6
kool,3
word,35
n2,66
perverters,3
perverting,3
10,26
@andrewmanley1,2
@laraleatrump,3
w/1,66
aide,3
defending,7
@ryanafournier,12
dumb,10
sad,81
using,13
@grizzlemaximus,104
bused,11
@aiiamericangiri,20
@kellylux,2
products,5
#dogkeith,3
condemnation,5
@thequ4nt,3
finished,280
disrespect,9
remove,5
support,95
@theleftisracist,2
@ericbolling,2
misjudged,2
@lookner,2
@abcnews,11
allowed,7
forgotten,2
@vivacioususa,2
disgraced,2
speech,15
#neonazis,2
blames,17
sit,5
eat,5
step,5
closer,5
sense,12
#cafc,2
game,2
faith,2
true,34
bunch,124
#falseflag,2
@allidoisowen,29
#fakemedia,5
alienating,2
#minorities,2
#russia,17
fantastic,11
newsflash,6
plague,6
@irritatedwoman,47
business,12
gates,6
accurately,62
disregard,5
#alqaeda,3
talk,71
#soros,17
lord,12
@breaking911,11
#nra,3
change,98
who's,34
#truthtopower,4
shown,56
administration,3
@abbydphillip,12
peacefully,5
refuse,32
shatters,3
@steph93065,10
lies,118
killing,9
bwahahahaha,9
@aladrienedenise,3
diet,3
coke,3
reasonable,3
participants,3
assessment,3
despicable,3
professional,6
@dfleites,3
#twitter,11
speaking,3
fit,98
@chelliehylton,6
@potus,793
start,93
apoligism,3
jackasses,3
#corrupt,3
respect,13
hyenas,3
hide,9
@savwhitechildre,6
column,12
low,109
plague;5th,6
islam..same,6
clowns,15
stance,33
race,40
people's,5
trade,36
likes2,6
#cnnisantifa,24
pathetic,46
#bizarre,3
godfather,31
exactly,35
found,19
@specialkmb1969,26
#blm,49
@naacp,3
late-to-the-table,3
talking,54
violent,56
@chriscarus,3
&amp;laying,66
cost,3
lives,37
fight,18
hear,75
bad,224
disrespectful,14
realnews,3
intergity,12
president's,11
buy,10
#altright,31
terrorist,23
#imperialwizard,3
@lindasuhler,63
appears,32
@falantphil,9
zero,14
dyin,9
gotta,8
marxism,3
destroying,46
#wordperverters,3
godforsaken,3
emails,3
decency,3
humanity,3
(0:36,6
burn,51
heads,5
#ap,3
#news,47
city,3
#trumpismypresident,3
@thehill,12
power,52
nation,3
bff,5
@huffpost,6
altright,8
#reichministryofpublicenlightenmentandpropaganda,6
@trumpedyou22,3
pic,3
kylie,6
@lisa_gauvin,3
@suzieqgirl1,3
couldn't,58
caved,6
picture,20
repeatedly,49
praising,3
flying,6
poor,10
interrupting,9
disagree,8
sources,24
@stump4trumppac,146
#fakerussia,3
"saying""put",3
define,17
"it"".lol",3
balls,30
capital,3
constantly,5
#msnbc,46
@vanjones68,30
spreading,43
fast,35
mouths,3
bs,19
term,131
#bbc,8
wheel,3
#breakingnews,3
verify,3
obviously,7
child,16
minutes,14
@margbrennan,3
expose,6
_,3
tries,26
#nbc,6
months,11
#realmadrid,9
@jreginalombardo,3
dems,33
information,73
#liberallogic,3
directed,3
owned,26
king,20
she's,7
@cbsnews,26
completely,5
@whitehouse,13
deserved,3
tired,15
newt,3
rting,30
ratings,33
strip,3
credibility,3
@rgomueller,3
#realdonaldtrump,12
wait,41
stop,196
trust,14
#cnn,110
attack,49
@michaelcohen212,6
cameras,3
@ruthieanneccot,3
@europesperance,6
@maddow,28
#charlottesville,479
@johncooper0610,12
@mcgilh,3
alveda,12
pipe,17
@alvedaking,3
concerning,3
#italy,3
italian,3
delegation,3
sirt,3
#libya,3
2nd,5
@nbcnews,23
whites,5
@abc,47
#fakenews/dems,49
black,148
@realjuanpablo,3
#nazinews,3
figure,3
alt-right,77
bringing,12
syphilis,3
shut,43
acting,5
embarrassing,9
#facism,3
@clintupham,5
pretend,6
comments,22
@iambritishreal,3
@owenjones84,3
jenner,3
hand,14
ranking,6
riot,75
#winning,6
@badideasvs,14
try,20
call,327
@mummahall13,3
@foxnewsalert,3
common,14
@xmolonlabex,3
clubs,9
gas,49
@rextilllerson,3
kill,9
nyc,5
days,161
libtards,5
laced,3
@wolfm00n,3
glue,3
cbc's,5
baseball,3
special,5
@billkristol,6
#dishonest,3
#bias,3
#fakesocialmedia,3
@gigitracyxo,3
anti-trust,3
bats,28
noun,6
$vz,6
@aol,6
safety,9
#sedition,6
disavow,131
stupid,29
preaching,5
@nytimes,51
chant,52
euuuhhh,3
oh,39
persecuted,3
unbelievable,12
living,11
@brophydarryl,3
@theleadcnn,15
ever..the,3
smoke,3
#sport,9
ignorant,3
trending,37
#altleft,77
ryt,3
@o_shaw,3
asses,7
#fakepresident,19
heavy,5
@cnnpolitics,36
@timrunshismouth,13
tapper,3
@politicalhedge,3
questions,26
discharged,3
rally,19
campaign,62
@waltshaub,3
thanks,145
golf,10
watching,22
(alt-right,9
track,6
8/15/2017,3
nor,7
slapped,3
strong,15
uttered,3
bit,3
#2018looksgood,3
#abc,9
station,52
#npr,3
based,5
@president1trump,3
@bluesea1964,3
compared,3
pouring,8
questioned,3
removing,3
loving,9
blame,33
yea,3
#disavow,92
minute,113
@sensanders,9
today's,21
@rodstryker,5
absorb,5
kindness,3
twisting,8
@italyinlibya,3
statues,17
visiting,3
final,3
#trustednews,6
hilarious,3
hard,19
(0:04,6
war,35
(0:13,6
#cbs,6
@ktla,12
chad,6
@washingtonpost,30
@frankluntz,9
smeared,3
create,18
door,6
christie,3
stetzer,3
headline,57
misquote,3
bash,6
altleft,9
#goals,3
continues,49
#violent,28
rude,3
anymore,45
stood,60
bitchslapping,3
tv,24
lip,3
beep,6
kits,3
shout,25
tirade,3
apparently,9
death,8
#iambritish,3
#brexit,3
#blacklivesmatter,83
@svdate,3
listened,5
@gremlin6433744,3
#msm,144
sick,32
home,7
tweets,14
#cnnisisis,11
democrat,23
you-,3
sockets,3
delivered,6
arrested,7
@joshrogin,9
jews-,3
@zachariuswho,3
eye,3
claiming,8
wrapped,3
(video)'-thegatewaypundit,6
scarves,3
cannabis,3
completed,3
warns,9
pretty,5
ears,15
witch,5
hunt,5
#fakepres,3
tax,11
promoting,8
@skylarclouds,3
guess,18
mt,3
leftist,23
@prisonplanet,12
fall,6
#shutupfakenews,6
#maga2020,3
#bigot.not,3
@youngdems4trump,3
@abigail86502467,3
@onlytruthnfacts,3
owner,3
brand,5
@joyannreid,12
yourself,7
bigly,3
#charlotteville,3
#monuments,3
@aac626,3
difference,11
@vicstoddard,21
denounces,6
bully,3
@politico,12
is...(wait,3
cloudflare,3
hears,15
@multitasker333,6
@allenwest,64
loathe,3
busted,70
disappear,9
cnn's,93
#gotrump,3
burning,5
allies,3
@kylegriffin1,6
ally,3
@trumpselffunds,6
mirror,9
@sruhle,3
size,3
biggest,19
mom,64
#tcot,92
@sebgorka,6
#liberals,26
moment,13
hurts,8
hate,152
mcmaster,9
@michaeldamsky,3
@gregjkrieg,3
eggs,3
w/o,6
(#potus,3
ridiculous,5
@i3lackirish,6
@chadkubisnc,3
compare,3
lapdog,3
twist,8
cosmetic,3
middle,9
@h4gb4rdceline,15
shouldn't,3
expect,8
print,3
leftists,10
@aporter925,6
excuse,11
#blackout,3
#crybaby,3
#snowflake,3
anyway,5
gop,13
@fox,6
denounce,23
you've,7
$,6
approved,18
hashtags,3
spaces,3
correctly,3
kidding,8
#unprofessional,3
#badtwittering,3
#fakenews,6590
neo-nazi,9
rt,5480
@lilium479,3
f*ck,6
concerned,12
actual,7
recognize,3
calls,119
signer,3
democrats,67
hope,15
@activist360,3
@dogan4rep,3
matter,42
#bothsides,9
#impeachtrumpnow,3
shit.they,12
#cndpoli,6
@x0rz,3
pushes,15
#notmypresident,3
folks,35
none,3
desperately,6
#charlottesviille,18
spin,21
starters,5
definitely,9
#veryfakenews,5
twitter,45
company,6
presidenttrump,9
#media,13
absolute,9
hysteria,17
@ananavarro,21
lao,3
@joey_girardi,6
filthy,7
worth,57
#defenddaca,9
@holmesjosh,6
citizen,29
fucker,3
sat,3
spoke,6
#propaganda,15
pile-on,57
plank,9
@nuuzfeed,6
~,8
removed,19
b-t-f-o,3
obama,88
commies,12
ploy,5
lot,14
closed,7
@michellemalkin,9
shame,22
effed,3
#infowars,3
doubling,3
#nitecafe,3
@rednationrising,5
homework,3
tech,3
sticking,3
websites,3
obnoxious,8
demonstrably,3
@chaos2raptor,3
etc,124
@business,6
outlets,16
25,72
@timodc,3
associated,3
@ransoms_note,3
countries,8
grapefruits,3
deaf,23
you....you,3
teller,3
handle,44
@crueltyfreecat,3
easy,7
jenner's,3
@conservatives,3
devastating,57
disavowed,91
corporation,3
uk,3
services,3
cruelty,3
sun,9
focus,26
doubt,79
reporters,39
real,122
network,43
miss,75
dishonesty,5
getting,29
exposed,10
defenders,3
canada's,6
#mcga,12
@chelseaclinton,22
@theboxthatroxx,3
revolting,3
#cnnisfakenews,10
guilty,5
signature,3
outrage,13
proven,7
@lexicorona2,3
road,6
21st,9
biased,43
@jlptalk,3
(crybaby,3
#fuck,3
@magachimp,89
didn't,99
conf,3
wonderful,9
@joev1973,6
@mrsmalindo,3
money,28
@roydcooper2017,3
europe,11
walmart,6
loud,20
@melods1000,3
@era88,3
kevin,9
@alvedacking,3
#vaccineswork,22
hostile,3
#neverendingbbq,3
locations,18
@cnnbrk,17
time,87
sunday,6
#falseadvertising,3
preach,3
kicking,3
bannon,28
ad,46
@cpcrebellion,6
failure,13
cmon,6
@chickfila,5
explain,3
umm,3
honesty,9
@crtv,9
run,12
free,16
butt,52
terrorists,6
arrogant,6
sanity,70
@joy_villa,72
seriously,89
stream,15
#antivaxx,20
rag,9
hack,9
this...and,3
instead,227
robots,3
ok,38
@brendannyhan,6
hurt,48
quickly,103
global,5
represents,9
wing,9
#rino,3
him2stay,3
interview,12
mule,26
@jparrambide,3
#cnnsucks,6
@sheffcouncil,6
@baseballcrank,3
including,13
@leemarsden7,3
#donaldtrump,5
@bfraser747,5
#poyb,6
#presidenttrump,10
"10,000",9
busts,9
@brentbozell,3
intelligent,8
@chrislhayes,3
@lawrence,5
prez,3
missouri,3
republican,11
anti-hate,32
defends,3
@cassandrarules,14
scorched,38
dying,11
@juddlegum,3
@libertyusa1776,3
cover,56
@jimsciutto,7
account,7
leave,10
zinged,3
aka,5
soetoro,3
@_makada_,3
(@stephenfhayes,3
documentaries,18
#russiagate,11
lastly,18
dinesh,18
d'souza,18
movies,18
@nbcnightlynews,8
caused,22
soooo,3
que,3
answers,3
@rt_america,3
@anyaparampil,3
@walldo,6
posts,6
patriot,6
judah-mcgregor,3
response,60
talks,3
rock,3
@cernovich,12
credit,7
legend,3
integrity,5
@rogerwaters,3
movement,3
jumped,11
disguised,18
fox,137
payments,3
@mrzofty,3
happing,3
care,41
communist,14
result,9
@libfem,3
#republic,3
repeat,3
afraid,6
fought,9
@chuckwoolery,21
objective,5
nice,23
#fakenewsmedia,50
gd,6
sovereignty,3
trumptower,6
delicious,9
bottom,8
evidence,7
hitting,6
@kfile,5
bless,6
complicated,3
investigated,6
rep,6
crowley,6
disgraceful,101
keeping,3
cllr,3
@rafsanchez,6
leader,20
annihilated,3
@sheffieldukip,3
@realeaglebites,16
grandmother,6
@deplorican,3
save,3
is-,3
stupidity,3
@bennyjohnson,3
@sandraopines,38
children,22
distorting,3
@will_c_fischer,6
mein,3
kampf,3
issued,3
pls,11
pedophile/,9
@calidhd,9
avoid,49
tweeting,8
delete,7
dreamers,3
lincoln,5
blm,135
@seamuston80,9
#subversive,3
(at,6
journalist,27
nbc,5
broadcast,8
pissing,9
"8,847",3
help,15
@tomcraze,3
#nicetry,3
@kchenette,3
jack,6
#lyingnews,3
division,11
mail,5
@housedemocrats,6
poll,21
supporters,24
ship,9
@underarmour,9
damage,6
ashley,3
condemns,10
world,18
refuses,48
russians,13
#durham,6
house,18
@karennaide,3
@philip_elliott,3
@bov1ce,3
narrative,60
trafficking,9
defend,14
kept,5
sinking,3
check,11
#cnnblackmail,3
#unitedstates,3
titanic,3
label,5
@ellinude,3
@cillizzacnn,5
@kristindonnelly,8
#alexjones,5
@kierstongotagun,3
let's,15
99%,5
@donlemon,11
ad--again,9
loved,5
explained,3
agree/disagree,3
party,13
praise,3
bizarre,3
@thom2945,3
@daysoftrump,9
breed,3
everyday,3
fanned,12
tells,14
@millennial_matt,6
controlled,6
channel,10
coverage,17
typical,5
wonder,18
@cnni,5
barry,3
stating,6
attacking,14
#deepstate,85
sex,9
victim's,13
chaotic,3
chop,12
ex-con,18
#dtmag,3
somehow,5
@barackobama,8
bigoted,3
@gqforbes4,3
#cnnfakenews,8
cartoon,20
popular,9
train,53
right-wing,18
squashed,9
spinning,5
condemned,15
leftist-marxist,3
finish,3
happened,48
w/obama,3
@fight4truthnow,3
@leslie_h20,3
@subschneider,3
correct,16
mush,9
pressers,6
date,3
buttslam,3
corners,3
preparation,3
#theresistance,3
stuff,12
bait,3
@truth4trump2016,9
@h_alexander,3
#antifaterroristorganization,3
lewandowski,5
@carlbernstein,8
disgusting,45
#blmterroristorganization,3
censors,11
fair,25
watched,31
stand,39
broadcasts,5
@trueeo,3
@repjoecrowley,6
amount,5
paper,3
country,44
directly,72
@richl562,3
@davidchalian,17
meet,5
@darrenkaplan,3
@allahpundit,5
political,14
view,3
solidarity,6
heat,9
agenda,24
started,8
coin,3
england,3
@postpolitics,3
office,35
@saracarterdc,3
sara,3
gorka,3
@heidiprzybyla,3
strange,3
sell,5
bout,5
credentials,5
distorts,13
thinking,11
damn,17
hearing,5
night,10
#whitelivesmatter,15
mother's,13
@maxinerunner,3
#climatechangehoax,15
@drscott_atlanta,43
appropriate,3
#icouldlivewithout,3
@lorencehud,3
cu-17-6809,3
#trudeau,3
@nectar,3
@johnbnyc,3
@mfs2k2,3
@nypost,3
@ny,3
huffpo,3
hahahahaha,3
crownmunicipalityofwestnipissing,3
cult,6
chelsea,5
presidency,6
@loveusadawn,3
@pepesgrandma,3
#farleft,3
brawling,26
@swampcleaners,3
continue,60
#anericahaters,3
@charleshurt,3
#dimms,6
#trumppresser,6
public,81
trash,9
@dwsjca,3
looking,7
@dineshdsouza,9
sonofab**ch,3
(__(__)es,9
bloody,6
vs,119
standing,10
@tvietor08,6
google,21
abt,12
@jlrice0622,3
@kctv5,3
x100,3
#hendos,3
@vetapologist,3
losing,6
giving,10
tolerance,3
frauds...they,3
nationalists,22
@reversingasd,6
@mikedsykes,3
ted,9
post,22
"people!""#fakenews",42
w/,155
radical,59
daily,17
#unhinged,3
indeed,15
sponsors,6
#lunatic,3
@shefflibdems,3
alternative,7
awesome,35
read,25
#alternativefacts,299
"this,the",29
friday,3
@deniernyc,3
beat,39
bigger,10
info,7
@scottmgreer,3
@wellingmichael,3
chaos,3
added,3
@kaitlinkoykar,12
thanked,29
regime,5
employees,3
1/16th,3
#cherokee,3
confederates,6
#iamnothingbutatool,3
slaves,12
absurd,15
@cbcnews,3
rights,3
protest&amp;the,3
wish,8
probably,10
establishment,111
debate,3
aren't,22
@__boaz__,3
@wkyc,3
#racist,10
helping,8
@childlikefaaith,19
spread,22
@americanbobs,3
yeah,10
wuss,8
team,6
dead,9
@eddietonymac,3
peaceful,6
hoo!he,15
angry,18
@secondiusacct,6
dead-end,3
#nazi,7
libs,67
--now,3
destroyed,5
rented,26
else,20
exclusive,3
#bds,3
@huffpostpol,3
brain,10
&amp;the,3
prz,3
+,9
flush,3
@karenyporter,3
@123jerryv123,3
amen,9
elitist,3
relentlessly,3
@eddiecarl4468,6
steve,5
lawyer,8
@blaircottrell89,3
seen,24
@jrcheneyjohn,85
school,3
mother,52
fire,11
outcome,3
@anon6_nvrforget,3
serve,46
mcgregor,3
#firstamendment,3
#stupidpresident,3
@katxarielle,3
100%,26
bravo,6
representatives,3
@gijoeops,45
#republican,3
#conservative,3
flapjaws,3
cruz,6
@pattonoswalt,6
dealing,21
something...got,3
setting,3
infinite,3
abuse,3
@mmassalas,3
traitors,3
ideas,3
briefing,3
#asshole,3
docs,69
disreputable,21
visit,20
#funny,18
victim,33
sack,3
horses**t,3
resign,3
met,3
otherwise,3
appearing,3
@alyssa_c_coon,3
own,23
promoted,20
fanatical,6
manafort,69
@julissaarce,3
usual,13
vote,29
@gop,21
near,3
describing,17
hit,28
retweets,6
covfefe,3
@hgetson,3
reporter...lol,3
@finneyk,3
supporter,16
byrd,5
tell,50
nfl,3
captain,3
counter-protesters,3
@mailonline,3
#nectar,3
#fakenewscnn,24
disappointed,3
claim,32
"term""altright""to",3
lump,3
w/whitesuprmsts(who,3
reallyleft,3
reality,117
@luv18wheels,3
destroy,17
personal,9
mention,14
handed,11
@jeffereyjaxen,3
#russiancollusion,7
[see,3
#nvicp],3
congressmen,6
wasn't,10
@beermantom,9
--,8
update:statement,3
straight,33
@jackposobiec,38
ontariosuperiorcourt,3
@anewthomaspaine,17
#democrat,7
@emilywcvb,3
@wcvb,3
heard,32
@trump4nc,3
thomas,3
fault,35
